transaction_id,customer_id,transaction_date,amount,payment_method
134,232,2024-02-04,490.91,Credit Card
135,494,2024-11-19,647.59,Credit Card
136,43,2024-01-20,766.75,Credit Card
137,265,2024-02-16,415.49,Credit Card
138,296,2024-03-24,728.86,Credit Card
139,46,2024-09-24,483.71,Credit Card
140,495,2024-02-22,1991.5,Credit Card
141,58,2024-09-29,1568.67,Credit Card
142,225,2024-01-18,1721.43,Credit Card
143,440,2024-04-13,1845.07,PayPal
144,140,2024-05-31,1333.35,Credit Card
145,101,2024-11-23,360.19,PayPal
146,281,2024-06-13,1519.47,Credit Card
147,238,2024-12-26,41.07,Bank Transfer
148,89,2024-03-24,235.33,Credit Card
149,246,2024-11-03,68.87,PayPal
150,400,2024-05-30,279.54,Credit Card
151,179,2024-02-06,1506.49,PayPal
152,380,2024-12-18,1772.11,PayPal
153,464,2024-05-31,564.89,Credit Card
154,231,2024-12-21,247.06,Credit Card
155,99,2024-07-26,553.19,Bank Transfer
156,215,2024-02-19,1297.76,Bitcoin
157,200,2024-08-07,706.9,PayPal
158,256,2024-02-16,1922.68,Bitcoin
159,437,2024-01-18,270.65,Credit Card
160,494,2024-05-01,1980.78,PayPal
161,436,2024-10-08,34.78,Credit Card
162,195,2024-04-29,908.87,PayPal
163,380,2024-09-07,511.11,PayPal
164,24,2024-11-22,1136.91,Credit Card
165,363,2024-10-25,202.14,PayPal
166,470,2024-02-16,1752.89,Credit Card
167,270,2024-03-25,281.69,Credit Card
168,278,2024-10-25,1178.9,Bank Transfer
169,226,2024-06-08,76.36,Bitcoin
170,228,2024-01-07,628.87,Credit Card
171,128,2024-09-01,307.95,PayPal
172,31,2024-08-02,1955.91,Credit Card
173,341,2024-07-30,33.92,Credit Card
174,251,2024-07-30,711.27,Bitcoin
175,58,2024-10-14,612.52,Credit Card
176,325,2024-08-05,1318.17,Credit Card
177,147,2024-09-07,122.19,Credit Card
178,106,2024-12-09,1623.13,Credit Card
179,437,2024-11-16,938.38,Credit Card
180,85,2024-11-09,911.02,PayPal
181,2,2024-06-29,461.31,Credit Card
182,437,2024-04-01,985.19,Credit Card
183,451,2024-08-05,734.15,Credit Card
184,303,2024-10-16,497.82,Credit Card
185,371,2024-03-30,345.65,Credit Card
186,53,2024-07-15,1459.39,Credit Card
187,441,2024-07-02,292.67,Credit Card
188,222,2024-03-06,344.28,Credit Card
189,482,2024-04-07,1158.37,Credit Card
190,25,2024-11-01,459.89,PayPal
191,35,2024-01-24,924.16,Credit Card
192,157,2024-08-07,1110.31,Credit Card
193,460,2024-06-22,556.12,PayPal
194,343,2024-09-01,693.67,Bank Transfer
195,476,2024-04-23,428.31,Bitcoin
196,366,2024-09-22,926.24,Bank Transfer
197,145,2024-12-19,1984.88,Bitcoin
198,336,2024-08-10,731.8,PayPal
199,433,2024-11-03,1310.13,Bitcoin
200,440,2024-08-22,1275.43,PayPal
201,457,2024-11-01,1575.1,Credit Card
202,387,2024-04-19,1426.72,Credit Card
203,278,2024-11-09,33.44,PayPal
204,479,2024-01-13,625.34,Bitcoin
205,398,2024-05-04,1741.76,Credit Card
206,387,2024-11-10,1083.7,Credit Card
207,294,2024-06-15,217.41,PayPal
208,343,2024-02-22,559.51,PayPal
209,277,2024-07-04,573.94,Bitcoin
210,179,2024-10-02,1747.62,Bank Transfer
211,280,2024-12-17,1111.27,Credit Card
212,352,2024-01-10,1220.56,Credit Card
213,301,2024-05-26,740.46,Credit Card
214,197,2024-11-12,130.02,Bitcoin
215,225,2024-11-28,159.74,Credit Card
216,428,2024-04-27,846.56,Credit Card
217,47,2024-12-05,363.21,Credit Card
218,185,2024-01-18,217.48,Credit Card
219,403,2024-08-13,531.86,Credit Card
220,162,2024-04-21,1486.67,Bitcoin
221,131,2024-03-12,155.31,PayPal
222,295,2024-05-23,901.97,Bitcoin
223,92,2024-04-13,1653.91,Credit Card
224,75,2024-08-02,543.17,PayPal
225,444,2024-03-17,610.73,PayPal
226,138,2024-01-26,1769.57,Credit Card
227,168,2024-08-17,1303.51,Credit Card
228,258,2024-07-11,1597.45,PayPal
229,238,2024-04-12,585.52,PayPal
230,45,2024-07-23,1993.59,Credit Card
231,487,2024-09-16,290.38,Credit Card
232,411,2024-08-20,1924.25,Credit Card
233,309,2024-02-20,1805.18,Credit Card
234,137,2024-05-10,1108.27,Credit Card
235,103,2024-12-08,1174.74,Credit Card
236,129,2024-03-06,1552.35,Credit Card
237,161,2024-07-20,620.5,PayPal
238,38,2024-10-10,1059.66,Bank Transfer
239,57,2024-10-26,1805.73,Credit Card
240,161,2024-05-25,145.82,Credit Card
241,176,2024-09-14,1812.0,Credit Card
242,259,2024-11-07,1460.27,PayPal
243,288,2024-04-13,1541.99,PayPal
244,461,2024-05-30,138.79,PayPal
245,405,2024-04-27,383.64,PayPal
246,324,2024-11-11,1851.27,Bitcoin
247,145,2024-07-17,256.86,Bank Transfer
248,426,2024-10-29,1266.05,Credit Card
249,68,2024-11-29,1567.56,Bank Transfer
250,340,2024-10-05,470.25,PayPal
251,268,2024-04-14,1400.59,PayPal
252,218,2024-01-10,140.5,PayPal
253,301,2024-04-22,1002.55,Bank Transfer
254,164,2024-01-27,675.52,Bank Transfer
255,336,2024-04-08,1295.03,Credit Card
256,179,2024-09-13,1779.12,Credit Card
257,391,2024-11-22,259.73,Bank Transfer
258,417,2024-05-15,906.11,Credit Card
259,48,2024-08-13,852.16,Credit Card
260,194,2024-05-06,654.35,Credit Card
261,289,2024-04-25,965.53,PayPal
262,206,2024-10-16,1762.65,PayPal
263,84,2024-06-19,1947.59,Credit Card
264,101,2024-07-30,15.66,PayPal
265,155,2024-07-07,1480.67,Bitcoin
266,47,2024-09-21,1234.01,Credit Card
267,234,2024-08-01,1989.08,Credit Card
268,341,2024-03-29,188.96,Bitcoin
269,450,2024-05-09,1624.58,Bank Transfer
270,299,2024-01-23,1868.52,Credit Card
271,336,2024-06-27,1825.11,PayPal
272,147,2024-01-20,1125.54,PayPal
273,196,2024-11-24,661.84,Credit Card
274,394,2024-08-29,1283.41,Bitcoin
275,22,2024-08-27,619.08,Credit Card
276,460,2024-01-29,830.42,PayPal
277,194,2024-09-01,896.99,Credit Card
278,386,2024-04-29,610.88,Bitcoin
279,489,2024-11-09,690.24,Credit Card
280,364,2024-02-01,24.55,Credit Card
281,354,2024-05-19,601.19,Credit Card
282,274,2024-06-06,949.89,Credit Card
283,384,2024-02-29,354.28,Bitcoin
284,208,2024-05-18,1613.11,Credit Card
285,275,2024-12-22,1079.9,PayPal
286,495,2024-07-30,1589.82,Bitcoin
287,217,2024-05-18,264.93,PayPal
288,414,2024-04-20,1642.82,Credit Card
289,496,2024-12-01,1916.94,PayPal
290,390,2024-09-07,711.38,Credit Card
291,27,2024-04-08,575.07,Credit Card
292,15,2024-06-26,1297.19,Credit Card
293,159,2024-01-01,1275.47,PayPal
294,428,2024-03-29,233.81,PayPal
295,214,2024-04-22,1854.25,PayPal
296,460,2024-10-09,963.32,Credit Card
297,394,2024-04-25,1531.19,PayPal
298,405,2024-02-01,725.04,Credit Card
299,431,2024-09-18,530.46,Credit Card
300,439,2024-02-10,231.43,Bank Transfer
301,379,2024-06-15,556.29,Credit Card
302,351,2024-12-08,1986.93,Credit Card
303,164,2024-08-08,1319.34,Bitcoin
304,127,2024-08-01,1607.54,Credit Card
305,330,2024-11-08,1917.43,PayPal
306,58,2024-12-11,167.19,PayPal
307,147,2024-05-10,337.74,Credit Card
308,471,2024-02-17,1856.65,Bitcoin
309,448,2024-05-13,1133.46,PayPal
310,256,2024-01-07,1273.35,Credit Card
311,110,2024-02-13,860.99,Credit Card
312,394,2024-11-12,1630.71,Bank Transfer
313,49,2024-03-26,1039.32,PayPal
314,182,2024-02-17,1654.0,PayPal
315,61,2024-11-12,1984.45,Bitcoin
316,443,2024-12-18,1296.99,Credit Card
317,475,2024-08-27,1062.34,PayPal
318,235,2024-05-31,736.66,Bitcoin
319,242,2024-09-14,397.45,Credit Card
320,130,2024-02-13,1316.75,PayPal
321,331,2024-06-16,134.65,Credit Card
322,264,2024-10-01,1913.01,PayPal
323,403,2024-07-09,1298.63,PayPal
324,208,2024-05-31,1919.13,Credit Card
325,452,2024-02-19,551.83,Credit Card
326,142,2024-10-02,1893.57,Credit Card
327,22,2024-11-08,1228.13,PayPal
328,17,2024-11-01,1622.43,PayPal
329,363,2024-04-04,366.06,Bitcoin
330,319,2024-08-29,1005.22,Credit Card
331,122,2024-04-14,1142.23,Bitcoin
332,282,2024-12-28,791.78,Credit Card
333,227,2024-12-14,513.93,Credit Card
334,420,2024-09-16,1810.5,Credit Card
335,373,2024-05-17,179.27,Bank Transfer
336,301,2024-11-14,316.43,Credit Card
337,497,2024-07-01,647.82,Credit Card
338,286,2024-02-26,1840.34,Credit Card
339,116,2024-08-27,1132.78,PayPal
340,149,2024-04-14,752.62,Bitcoin
341,404,2024-03-05,811.33,PayPal
342,170,2024-05-19,1677.18,Credit Card
343,90,2024-03-02,63.29,Bank Transfer
344,119,2024-05-31,32.56,Bank Transfer
345,184,2024-05-09,101.71,Credit Card
346,396,2024-05-05,943.72,PayPal
347,264,2024-07-30,1166.69,Credit Card
348,227,2024-06-10,1252.69,PayPal
349,93,2024-07-23,1464.96,PayPal
350,117,2024-01-29,387.55,Credit Card
351,490,2024-06-30,531.95,Bank Transfer
352,447,2024-02-20,494.58,Credit Card
353,312,2024-08-22,306.85,PayPal
354,391,2024-01-14,496.35,Bitcoin
355,318,2024-12-15,1231.17,Credit Card
356,121,2024-02-27,739.16,Credit Card
357,317,2024-05-16,1538.15,Credit Card
358,138,2024-05-07,1077.47,PayPal
359,231,2024-02-06,431.96,Bitcoin
360,306,2024-12-24,940.09,Credit Card
361,148,2024-09-24,1190.8,Credit Card
362,284,2024-03-25,1733.73,Credit Card
363,142,2024-07-28,1669.1,PayPal
364,332,2024-05-18,858.69,PayPal
365,8,2024-01-27,1298.87,Credit Card
366,391,2024-12-09,602.63,Credit Card
367,5,2024-08-20,1269.68,Credit Card
368,257,2024-06-19,1826.46,Credit Card
369,367,2024-06-26,1252.84,Credit Card
370,329,2024-12-19,614.51,Credit Card
371,492,2024-01-20,1291.53,PayPal
372,246,2024-10-29,1806.48,Credit Card
373,466,2024-09-20,282.72,Credit Card
374,235,2024-07-15,970.07,PayPal
375,362,2024-11-22,648.89,Bitcoin
376,10,2024-03-04,490.52,PayPal
377,242,2024-02-13,798.46,Credit Card
378,442,2024-08-31,794.0,Bank Transfer
379,321,2024-01-12,428.76,Credit Card
380,188,2024-12-26,813.21,Credit Card
381,404,2024-09-16,1271.13,Bank Transfer
382,314,2024-10-22,61.21,PayPal
383,427,2024-09-13,1978.56,PayPal
384,413,2024-08-22,598.93,Credit Card
385,2,2024-09-03,1251.05,Credit Card
386,154,2024-05-20,574.26,Credit Card
387,203,2024-11-01,793.14,Credit Card
388,217,2024-06-29,1102.98,Credit Card
389,482,2024-12-30,1227.59,Credit Card
390,315,2024-06-01,1543.21,Credit Card
391,105,2024-02-13,1585.45,PayPal
392,1,2024-04-18,1042.22,Bank Transfer
393,254,2024-04-07,160.69,PayPal
394,287,2024-08-14,1119.99,PayPal
395,294,2024-03-21,960.38,Credit Card
396,278,2024-08-05,438.62,Credit Card
397,194,2024-05-28,30.22,Credit Card
398,431,2024-03-16,638.77,Credit Card
399,257,2024-03-20,526.38,PayPal
400,250,2024-02-21,970.99,Bank Transfer
401,248,2024-03-03,1525.59,Bitcoin
402,88,2024-03-24,883.69,Credit Card
403,434,2024-12-08,1903.62,Bitcoin
404,420,2024-09-11,450.41,Credit Card
405,253,2024-02-28,449.69,Credit Card
406,429,2024-01-08,1212.85,Credit Card
407,164,2024-11-02,1793.56,PayPal
408,495,2024-03-16,1347.0,PayPal
409,162,2024-03-18,1350.62,Credit Card
410,265,2024-05-03,1614.51,Credit Card
411,460,2024-01-12,1340.67,Credit Card
412,110,2024-10-06,1521.1,Credit Card
413,340,2024-02-14,1733.59,Bank Transfer
414,388,2024-02-22,25.74,Bank Transfer
415,207,2024-06-29,1772.39,Bank Transfer
416,319,2024-08-21,438.38,Credit Card
417,132,2024-07-04,1825.09,Credit Card
418,133,2024-10-19,539.7,Bank Transfer
419,394,2024-03-15,915.93,Bank Transfer
420,108,2024-07-16,1868.43,Credit Card
421,172,2024-03-19,228.4,PayPal
422,40,2024-08-20,1493.11,Credit Card
423,292,2024-06-16,790.97,Bank Transfer
424,35,2024-01-23,57.96,Credit Card
425,59,2024-08-17,1878.87,Bitcoin
426,193,2024-10-31,244.48,Credit Card
427,210,2024-05-14,1550.54,PayPal
428,372,2024-10-19,774.7,Credit Card
429,31,2024-02-07,1623.06,Credit Card
430,174,2024-08-19,1503.07,Credit Card
431,305,2024-12-20,1270.1,PayPal
432,390,2024-06-16,1879.05,Credit Card
433,198,2024-10-11,206.86,PayPal
434,106,2024-04-12,1599.17,Credit Card
435,275,2024-05-24,1344.86,Credit Card
436,96,2024-08-30,636.29,PayPal
437,170,2024-05-27,1096.48,Credit Card
438,30,2024-06-01,1292.81,Bank Transfer
439,282,2024-11-11,1475.18,PayPal
440,387,2024-11-14,382.25,PayPal
441,161,2024-10-21,213.21,Credit Card
442,306,2024-05-05,213.09,Credit Card
443,415,2024-07-10,594.8,Bank Transfer
444,111,2024-03-23,316.8,Credit Card
445,212,2024-01-21,1075.93,Bitcoin
446,196,2024-10-14,879.71,Credit Card
447,96,2024-10-10,1787.2,Credit Card
448,338,2024-12-24,1437.63,PayPal
449,138,2024-09-24,419.57,Bank Transfer
450,278,2024-04-30,101.0,Credit Card
451,447,2024-04-20,1421.22,Credit Card
452,310,2024-03-19,1693.2,PayPal
453,179,2024-12-13,1404.98,Credit Card
454,337,2024-03-25,1291.15,Credit Card
455,234,2024-03-20,506.14,Credit Card
456,249,2024-05-30,994.26,PayPal
457,132,2024-08-31,1452.67,PayPal
458,249,2024-08-05,394.82,Bank Transfer
459,293,2024-01-15,958.32,Credit Card
460,455,2024-04-10,242.89,Credit Card
461,499,2024-09-24,1066.13,Credit Card
462,63,2024-02-04,1151.34,Credit Card
463,307,2024-12-16,1075.42,Credit Card
464,392,2024-10-09,944.23,PayPal
465,257,2024-05-04,1179.03,Credit Card
466,248,2024-08-11,1993.63,PayPal
467,264,2024-06-09,1248.85,Bank Transfer
468,467,2024-01-13,1507.61,Bitcoin
469,337,2024-06-13,392.32,Credit Card
470,361,2024-09-14,1064.75,Credit Card
471,500,2024-10-19,24.94,Credit Card
472,439,2024-04-23,72.6,Bitcoin
473,368,2024-04-29,651.74,Bank Transfer
474,393,2024-03-09,938.53,Bitcoin
475,179,2024-09-30,1155.52,PayPal
476,400,2024-02-17,1777.13,Credit Card
477,437,2024-12-02,1545.8,Bank Transfer
478,315,2024-11-17,606.95,Bitcoin
479,301,2024-12-27,1489.53,Bitcoin
480,499,2024-02-27,1103.29,Credit Card
481,165,2024-03-18,1560.57,Credit Card
482,91,2024-07-22,827.99,Credit Card
483,322,2024-08-12,192.87,Bank Transfer
484,192,2024-09-19,1240.79,Bank Transfer
485,292,2024-04-12,1118.5,Credit Card
486,76,2024-04-18,1907.67,PayPal
487,306,2024-09-21,332.64,Credit Card
488,99,2024-11-20,1315.7,Credit Card
489,95,2024-02-25,953.41,Credit Card
490,181,2024-11-07,764.06,Credit Card
491,441,2024-09-08,1591.19,Credit Card
492,403,2024-10-26,1623.19,Credit Card
493,154,2024-03-12,1432.06,PayPal
494,374,2024-05-20,176.37,Credit Card
495,356,2024-06-28,696.77,Bitcoin
496,324,2024-07-21,103.03,PayPal
497,112,2024-09-27,693.93,PayPal
498,171,2024-04-19,1299.36,Bank Transfer
499,253,2024-03-22,1042.23,Credit Card
500,383,2024-03-24,1408.84,Credit Card
501,351,2024-09-13,1107.41,Credit Card
502,122,2024-07-11,1116.07,Credit Card
503,442,2024-05-18,1026.82,Credit Card
504,205,2024-08-08,735.01,PayPal
505,245,2024-07-07,898.66,PayPal
506,127,2024-12-14,233.75,Credit Card
507,491,2024-12-09,1670.67,Credit Card
508,359,2024-12-05,1779.53,Credit Card
509,315,2024-07-15,1534.88,Credit Card
510,46,2024-10-27,1171.34,PayPal
511,452,2024-03-14,1142.67,Credit Card
512,296,2024-07-16,945.94,Bank Transfer
513,236,2024-11-19,470.38,PayPal
514,141,2024-09-16,773.77,Credit Card
515,121,2024-07-17,1979.91,Credit Card
516,361,2024-10-30,300.15,Credit Card
517,9,2024-12-18,1089.94,Bitcoin
518,66,2024-05-16,1734.39,Bank Transfer
519,483,2024-12-11,911.47,Credit Card
520,309,2024-06-23,1215.16,PayPal
521,460,2024-11-11,1657.31,Credit Card
522,81,2024-11-03,1099.65,Credit Card
523,260,2024-12-07,1465.62,PayPal
524,382,2024-12-18,701.07,Bank Transfer
525,398,2024-10-30,1468.72,Credit Card
526,469,2024-05-12,91.63,Credit Card
527,105,2024-01-27,314.27,PayPal
528,392,2024-09-13,1278.22,Bitcoin
529,97,2024-02-20,903.42,PayPal
530,190,2024-05-23,1658.41,Credit Card
531,429,2024-12-20,690.53,Bank Transfer
532,348,2024-12-21,1536.74,Bank Transfer
533,195,2024-08-23,286.83,PayPal
534,446,2024-06-08,1860.99,Bitcoin
535,334,2024-12-24,842.69,PayPal
536,83,2024-10-29,469.49,Credit Card
537,251,2024-09-27,1580.41,Credit Card
538,70,2024-06-02,1896.29,PayPal
539,292,2024-02-06,1836.98,Bank Transfer
540,340,2024-08-04,483.5,Bitcoin
541,385,2024-05-09,1347.3,Credit Card
542,188,2024-03-16,1098.25,Credit Card
543,458,2024-10-14,1452.96,Bitcoin
544,141,2024-07-15,979.0,PayPal
545,140,2024-11-06,944.83,Credit Card
546,75,2024-08-04,1766.59,PayPal
547,100,2024-04-08,1743.8,Credit Card
548,145,2024-11-07,1577.32,Bank Transfer
549,175,2024-10-11,1412.74,Bitcoin
550,309,2024-08-17,1359.95,Bank Transfer
551,221,2024-04-18,121.8,Credit Card
552,323,2024-12-05,1501.58,Bitcoin
553,477,2024-06-12,1279.83,PayPal
554,10,2024-04-25,611.8,Credit Card
555,46,2024-03-11,1642.0,Credit Card
556,339,2024-08-01,1666.57,Bank Transfer
557,117,2024-12-03,1865.06,PayPal
558,4,2024-02-22,842.53,Credit Card
559,313,2024-03-25,1106.99,Bank Transfer
560,238,2024-12-07,1812.85,Credit Card
561,294,2024-03-16,640.43,Bitcoin
562,396,2024-09-23,1595.32,PayPal
563,31,2024-09-04,1984.01,PayPal
564,130,2024-11-27,1307.35,PayPal
565,241,2024-10-12,1967.57,Credit Card
566,385,2024-03-19,1036.47,Bank Transfer
567,81,2024-04-16,314.58,Credit Card
568,25,2024-03-22,359.44,PayPal
569,261,2024-07-20,1465.44,Credit Card
570,48,2024-08-17,11.81,Credit Card
571,398,2024-08-14,1327.16,PayPal
572,52,2024-01-20,311.03,Bitcoin
573,330,2024-09-24,1968.89,Credit Card
574,149,2024-11-18,334.62,Credit Card
575,409,2024-06-26,1109.4,PayPal
576,99,2024-05-19,1342.2,PayPal
577,67,2024-11-05,1640.8,Credit Card
578,210,2024-03-20,923.93,PayPal
579,248,2024-06-30,1868.26,Credit Card
580,119,2024-03-14,965.69,Credit Card
581,434,2024-05-26,511.6,Credit Card
582,228,2024-08-20,1190.14,PayPal
583,103,2024-05-21,1319.43,Credit Card
584,289,2024-05-29,1019.71,Credit Card
585,240,2024-05-11,1469.03,PayPal
586,401,2024-08-26,847.15,PayPal
587,232,2024-11-10,18.63,PayPal
588,454,2024-06-10,536.43,Credit Card
589,290,2024-11-15,1892.35,PayPal
590,154,2024-09-06,1528.81,Bitcoin
591,170,2024-05-07,387.17,Credit Card
592,159,2024-09-30,142.64,Credit Card
593,113,2024-03-22,708.09,PayPal
594,51,2024-08-19,1674.24,PayPal
595,476,2024-01-31,220.9,PayPal
596,36,2024-08-21,1091.27,PayPal
597,13,2024-03-24,557.25,Credit Card
598,341,2024-02-11,1455.25,PayPal
599,218,2024-07-20,10.82,Credit Card
600,243,2024-09-07,561.58,Credit Card
601,223,2024-03-25,1361.71,Bank Transfer
602,208,2024-07-01,1098.03,Bank Transfer
603,479,2024-09-22,1559.94,PayPal
604,269,2024-03-11,323.78,Credit Card
605,222,2024-01-22,1066.64,PayPal
606,288,2024-03-16,399.58,PayPal
607,389,2024-09-25,1282.05,PayPal
608,12,2024-06-16,271.37,PayPal
609,487,2024-12-18,305.9,Credit Card
610,187,2024-12-16,663.13,Credit Card
611,169,2024-08-27,809.79,PayPal
612,293,2024-02-20,1002.13,Bank Transfer
613,324,2024-03-23,1165.61,Bitcoin
614,106,2024-12-17,942.94,PayPal
615,176,2024-03-30,100.82,Credit Card
616,427,2024-01-13,693.49,Credit Card
617,349,2024-06-05,132.15,Credit Card
618,41,2024-07-17,244.99,PayPal
619,312,2024-06-02,194.72,Credit Card
620,325,2024-07-16,324.61,PayPal
621,249,2024-08-11,1627.71,Bank Transfer
622,267,2024-04-27,1258.87,Credit Card
623,222,2024-05-30,1018.49,Credit Card
624,393,2024-08-31,1467.19,Credit Card
625,113,2024-03-15,1922.84,Credit Card
626,284,2024-07-31,841.17,PayPal
627,278,2024-10-01,741.15,PayPal
628,203,2024-12-19,1955.77,PayPal
629,341,2024-08-31,1544.95,Bitcoin
630,262,2024-06-26,1556.45,Credit Card
631,282,2024-04-17,1203.89,PayPal
632,144,2024-10-17,1018.95,PayPal
633,243,2024-06-25,1105.68,Credit Card
634,270,2024-06-22,1307.65,Credit Card
635,35,2024-04-02,759.91,PayPal
636,298,2024-04-09,1566.77,Credit Card
637,53,2024-06-29,1819.35,Bitcoin
638,356,2024-06-07,1146.85,Credit Card
639,150,2024-04-05,769.14,Credit Card
640,437,2024-08-19,1394.22,Credit Card
641,450,2024-09-07,372.51,PayPal
642,13,2024-12-05,1937.46,Credit Card
643,267,2024-03-07,1319.39,Credit Card
644,396,2024-08-24,144.46,Credit Card
645,97,2024-01-19,1064.2,Credit Card
646,86,2024-10-13,1503.18,Credit Card
647,309,2024-10-14,562.91,Credit Card
648,265,2024-07-25,111.47,PayPal
